time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2019-06-24T22:00:00.0000000Z,2019-06-24T22:30:00.0000000Z,2019-06-24T22:00:49.3650000Z,2019-06-24T22:28:51.6470000Z,308.84,313.09,308.84,311.24,3454.71221141,460
2019-06-24T22:30:00.0000000Z,2019-06-24T23:00:00.0000000Z,2019-06-24T22:30:07.1700000Z,2019-06-24T22:59:28.6000000Z,311.23,311.7,308.12,308.8,511.26055399,100
2019-06-24T23:00:00.0000000Z,2019-06-24T23:30:00.0000000Z,2019-06-24T23:00:57.5100000Z,2019-06-24T23:29:44.6120000Z,308.89,310.31,308.24,308.91,1355.43808456,145
2019-06-24T23:30:00.0000000Z,2019-06-25T00:00:00.0000000Z,2019-06-24T23:30:04.5060000Z,2019-06-24T23:59:39.3720000Z,308.81,310.44,308.81,310.44,129.93630705,134
2019-06-25T00:00:00.0000000Z,2019-06-25T00:30:00.0000000Z,2019-06-25T00:00:18.1510000Z,2019-06-25T00:29:51.5920000Z,310.75,312.4,309.79,310.43,2269.70966248,410
2019-06-25T00:30:00.0000000Z,2019-06-25T01:00:00.0000000Z,2019-06-25T00:30:35.3600000Z,2019-06-25T00:59:54.5670000Z,310.29,310.57,309.05,309.55,821.69527484,212
2019-06-25T01:00:00.0000000Z,2019-06-25T01:30:00.0000000Z,2019-06-25T01:00:40.4240000Z,2019-06-25T01:29:42.9430000Z,309.55,311.1,309.55,309.71,524.07882512,117
2019-06-25T01:30:00.0000000Z,2019-06-25T02:00:00.0000000Z,2019-06-25T01:30:34.6380000Z,2019-06-25T01:59:32.6460000Z,309.72,311.45,309.71,311.45,406.11355834,84
2019-06-25T02:00:00.0000000Z,2019-06-25T02:30:00.0000000Z,2019-06-25T02:00:11.4210000Z,2019-06-25T02:28:39.7680000Z,311.11,312.08,310.52,311.96,670.9581137,158
2019-06-25T02:30:00.0000000Z,2019-06-25T03:00:00.0000000Z,2019-06-25T02:30:01.0940000Z,2019-06-25T02:59:45.4870000Z,311.84,312.0,310.51,310.62,3247.13073125,224
2019-06-25T03:00:00.0000000Z,2019-06-25T03:30:00.0000000Z,2019-06-25T03:00:57.0520000Z,2019-06-25T03:29:48.3290000Z,310.62,311.23,309.24,310.25,548.90379604,136
2019-06-25T03:30:00.0000000Z,2019-06-25T04:00:00.0000000Z,2019-06-25T03:30:12.6130000Z,2019-06-25T03:59:38.3200000Z,310.22,310.36,309.25,310.0,1134.46460223,120
2019-06-25T04:00:00.0000000Z,2019-06-25T04:30:00.0000000Z,2019-06-25T04:00:11.5980000Z,2019-06-25T04:29:24.7080000Z,310.0,311.84,309.68,311.84,899.65101426,96
2019-06-25T04:30:00.0000000Z,2019-06-25T05:00:00.0000000Z,2019-06-25T04:30:50.2160000Z,2019-06-25T04:59:51.2600000Z,311.84,312.99,311.32,312.55,640.34932482,182
2019-06-25T05:00:00.0000000Z,2019-06-25T05:30:00.0000000Z,2019-06-25T05:00:01.3820000Z,2019-06-25T05:29:59.0620000Z,312.89,314.7,312.06,312.62,3041.38271518,407
2019-06-25T05:30:00.0000000Z,2019-06-25T06:00:00.0000000Z,2019-06-25T05:30:15.7630000Z,2019-06-25T05:59:23.5220000Z,312.56,313.54,311.52,312.38,3452.51722374,329
2019-06-25T06:00:00.0000000Z,2019-06-25T06:30:00.0000000Z,2019-06-25T06:00:23.5700000Z,2019-06-25T06:29:28.4940000Z,312.37,314.24,312.1,313.36,1322.6158523,248
2019-06-25T06:30:00.0000000Z,2019-06-25T07:00:00.0000000Z,2019-06-25T06:30:19.7360000Z,2019-06-25T06:59:33.0080000Z,313.21,313.55,311.61,312.07,512.8991847,145
2019-06-25T07:00:00.0000000Z,2019-06-25T07:30:00.0000000Z,2019-06-25T07:00:03.4630000Z,2019-06-25T07:29:44.4160000Z,311.95,314.01,311.95,313.72,748.49135753,116
2019-06-25T07:30:00.0000000Z,2019-06-25T08:00:00.0000000Z,2019-06-25T07:30:13.6870000Z,2019-06-25T07:59:35.6600000Z,313.72,314.0,312.6,313.0,1248.37127332,166
2019-06-25T08:00:00.0000000Z,2019-06-25T08:30:00.0000000Z,2019-06-25T08:00:07.6460000Z,2019-06-25T08:29:29.1150000Z,312.77,313.6,312.63,312.63,705.59975089,86
2019-06-25T08:30:00.0000000Z,2019-06-25T09:00:00.0000000Z,2019-06-25T08:30:35.7180000Z,2019-06-25T08:59:01.7600000Z,312.57,312.9,311.1,311.64,326.02686988,111
2019-06-25T09:00:00.0000000Z,2019-06-25T09:30:00.0000000Z,2019-06-25T09:00:01.6440000Z,2019-06-25T09:29:37.5140000Z,311.87,312.46,311.18,311.18,817.21859954,128
2019-06-25T09:30:00.0000000Z,2019-06-25T10:00:00.0000000Z,2019-06-25T09:30:28.6050000Z,2019-06-25T09:58:32.1340000Z,311.1,312.99,311.1,312.66,273.32994225,106
2019-06-25T10:00:00.0000000Z,2019-06-25T10:30:00.0000000Z,2019-06-25T10:00:34.8340000Z,2019-06-25T10:29:07.0390000Z,313.0,313.4,312.61,313.03,530.50959467,104
2019-06-25T10:30:00.0000000Z,2019-06-25T11:00:00.0000000Z,2019-06-25T10:30:13.3820000Z,2019-06-25T10:59:27.4150000Z,312.96,314.31,312.96,313.97,1279.86138523,166
2019-06-25T11:00:00.0000000Z,2019-06-25T11:30:00.0000000Z,2019-06-25T11:00:29.3690000Z,2019-06-25T11:29:47.5680000Z,313.82,314.74,312.97,313.46,1646.94586658,237
2019-06-25T11:30:00.0000000Z,2019-06-25T12:00:00.0000000Z,2019-06-25T11:30:33.6220000Z,2019-06-25T11:59:50.8390000Z,313.35,313.48,311.19,311.96,632.42152065,137
2019-06-25T12:00:00.0000000Z,2019-06-25T12:30:00.0000000Z,2019-06-25T12:00:00.0500000Z,2019-06-25T12:29:58.0550000Z,311.86,312.5,307.0,308.45,3495.29811037,643
2019-06-25T12:30:00.0000000Z,2019-06-25T13:00:00.0000000Z,2019-06-25T12:30:00.3200000Z,2019-06-25T12:59:24.4340000Z,308.49,309.42,305.48,308.0,2107.59251579,321
