time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2016-10-17T12:00:00.0000000Z,2016-10-17T16:00:00.0000000Z,2016-10-17T14:02:50.4630000Z,2016-10-17T15:52:20.0750000Z,11.87,11.9,11.85972,11.8895,1076.17100581,48
2016-10-17T16:00:00.0000000Z,2016-10-17T20:00:00.0000000Z,2016-10-17T16:06:47.1680000Z,2016-10-17T19:59:40.9240000Z,11.89,12.0,11.89,12.0,6184.44325994,182
2016-10-17T20:00:00.0000000Z,2016-10-18T00:00:00.0000000Z,2016-10-17T20:00:56.3890000Z,2016-10-17T22:59:11.2550000Z,12.0,12.03,11.93356,12.03,3391.48746049,120
2016-10-18T00:00:00.0000000Z,2016-10-18T04:00:00.0000000Z,2016-10-18T00:52:09.0760000Z,2016-10-18T03:56:53.1670000Z,12.02591,12.2,12.0,12.2,1590.24050579,53
2016-10-18T04:00:00.0000000Z,2016-10-18T08:00:00.0000000Z,2016-10-18T04:01:54.6870000Z,2016-10-18T07:51:48.6820000Z,12.2,12.54799,12.2,12.431,4801.33029795,164
2016-10-18T08:00:00.0000000Z,2016-10-18T12:00:00.0000000Z,2016-10-18T08:05:09.7740000Z,2016-10-18T11:51:31.7210000Z,12.3904,12.59809,12.31003,12.53369,3566.44844228,92
2016-10-18T12:00:00.0000000Z,2016-10-18T16:00:00.0000000Z,2016-10-18T12:10:34.0840000Z,2016-10-18T15:59:36.4070000Z,12.53369,12.8995,12.48,12.7395,7815.42325418,199
2016-10-18T16:00:00.0000000Z,2016-10-18T20:00:00.0000000Z,2016-10-18T16:04:08.3830000Z,2016-10-18T19:53:50.9270000Z,12.65747,12.79,12.51,12.5942,2760.36920641,65
2016-10-18T20:00:00.0000000Z,2016-10-19T00:00:00.0000000Z,2016-10-18T20:10:09.4360000Z,2016-10-18T23:54:50.8840000Z,12.59239,12.5984,12.44,12.48257,2267.83790592,57
2016-10-19T00:00:00.0000000Z,2016-10-19T04:00:00.0000000Z,2016-10-19T00:06:16.8980000Z,2016-10-19T03:29:25.1830000Z,12.61,12.61438,12.44005,12.4628,3034.616506,87
2016-10-19T04:00:00.0000000Z,2016-10-19T08:00:00.0000000Z,2016-10-19T04:04:09.9000000Z,2016-10-19T07:59:59.2570000Z,12.46501,12.61349,12.44005,12.5226,481.65735478,57
2016-10-19T08:00:00.0000000Z,2016-10-19T12:00:00.0000000Z,2016-10-19T08:00:10.9920000Z,2016-10-19T11:54:50.3130000Z,12.61349,12.66407,12.50017,12.55,702.78431946,113
2016-10-19T12:00:00.0000000Z,2016-10-19T16:00:00.0000000Z,2016-10-19T12:05:34.7190000Z,2016-10-19T15:50:09.7240000Z,12.5072,12.5072,11.95,12.04,10626.58687794,334
